,Channel ID,Channel Name,Created,Description,Genre,Comment Count,Subscriber Count,Video Count,View Count
0,UCYL9lSER7W0kMXbGCprMS0A,Vlogs By DK4L,2015-10-14,"Hello it's DK4L De'arra and Ken your favorite couple, We've created this daily vlog channel for all our #DK4L FANS that love to follow us. Well here's a better ...",Vlog,0,1751177,1751177,134472005
1,UC_hoQDD6zKcIqpIYLsFbBeA,Mo Vlogs,2013-09-22,Im 21 years old I live in Dubai. On my youtube Channel i am a vlogger. (Dubai youtuber) Business email : movlogsbusiness@gmail.com POSTAL ...,Vlog,0,5324813,5324813,1396183466
2,UCmMKeHNK3W2UDGnYckZJ1zQ,The Life Of Us Vlogs,2017-04-05,"Welcome to The Life of Us! Our channel will include Vlogs, Story times, Pranks, Challenges & more! TURN OUR NOTIFICATIONS ON TO STAY UPDATED!",Vlog,0,486490,486490,29950321
3,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,2015-08-29,22 year old kid in Hollywood making crazy daily Vlogs! Join the movement and Be A Maverick: https://shoploganpaul.com/,Vlog,0,17260274,17260274,3626151216
4,UCLGe0PxyRFWmXVGJKq_gGvw,Fancy Vlogs By Gab,2015-07-20,,Vlog,0,1787871,1787871,158377774
5,UCPVc4QnmAK13FdJydoQiljg,The Gabbie Vlogs,2014-01-25,Watch my stories unfold in real time! ▷FOLLOW ME ON INSTAGRAM: @thegabbieshow http://instagram.com/thegabbieshow ▷FOLLOW ME ON TWITTER: ...,Vlog,0,1577999,1577999,164473297
6,UCF1Q_zp3Eh3nuEHvMbdKkqg,AlishaMarieVlogs,2012-07-13,Hi I'm Alisha Marie and this vlog channel is a behind the scenes look into my life!!!,Vlog,16,2734680,2734680,401214424
7,UC8b8jeJgftvh6eDXxgddA-A,Laura Lee Vlogs,2015-04-01,This is my Second Channel! VLOG CHANNEL! My First Channel is my beauty channel: youtube.com/user/laura88lee Instagram: @larlarlee Tweet Me ...,Vlog,0,392427,392427,8940716
8,UCcseTnvS6CC-mkIcwKfi-1A,Tana Mongeau Vlogs,2016-01-02,"Hi I'm Tana Mongeau, I'm a struggling demonetized influencer, but I'm also a daily vlogger. Check out my daily vlogs, makeup tutorials, clothing hauls and other ...",Vlog,0,1318413,1318413,103849954
9,UCBhZjj4IOuuMRrCT-f_6_ug,Domo and Crissy Vlogs,2016-02-28,WELCOME TO OUR V L O G CHANNEL! IT'S DOMO AND CRISSSSSY ! WE BROUGHT A BABY BOY INTO THIS WORLD ON 3/14/17 AND WE WANNA SHARE ...,Vlog,0,1788962,1788962,144467761
10,UC0JkmlYoBhkwNP59t2Q1Frg,Kavari Vlogs,2013-06-05,,Vlog,1,321531,321531,30289505
11,UC5rjqsGd6hRL6wmeDM8TD9Q,Britpoplife Vlogs,2012-04-23,"Finally, A vlog channel, an opportunity to express myself a little bit more on the YT. you can watch my day to day life, ramblings and a little encouragement For ...",Vlog,157,360941,360941,28475813
12,UC3evtGd5VPZgT-M7LslR_Lg,Tara Michelle Vlogs,2013-05-23,Hey everyone! This is a channel where I record my everyday life and share it with you guys! I hope you'll enjoy and maybe even find them entertaining hahah!,Vlog,0,325173,325173,44500899
13,UCt3PiR2F6agxWThsJCkvPWg,TimothyDeLaGhetto Vlogs,2006-10-02,,Vlog,9981,1127568,1127568,176529322
14,UCrUbqTCagwsaP2Fmr0p1TsA,MoreZoella,2012-09-04,Business Contact: http://bitly.com/contactzoella Day in the life videos Bloopers Extras & general life-ness.,Vlog,279,4890922,4890922,725577906
15,UCtinbF-Q-fVthA0qrFQTgXQ,CaseyNeistat,2010-02-15,"Hi, I live in New York City and love YouTube. some FAQs Q. what'd i shoot that with A; BIG CAMERA; http://amzn.to/1MIJUGK WIDE LENS; ...",Vlog,650,9359294,9359294,2178868403
16,UC-XXD_eJ1NUeWb1T4q92PoA,Taylor Girlz VLOGS,2017-09-14,,Vlog,0,318885,318885,14348618
17,UCIvGs1yGop7dDESN8r3f8Rg,Bach Vlogs,2011-06-18,Find out what @KingBach does EVERYDAY.,Vlog,1,1545635,1545635,100799050
18,UCmh5gdwCx6lN7gEC20leNVA,David Dobrik,2014-12-19,To see what I'm doing when I'm not vlogging add me on snapchat: @DavidDobrik Business: DavidDobrikBusiness@gmail.com.,Vlog,0,6599452,6599452,2139479759
19,UCwuRC9oEYPRV_drofrS-4kg,Alex Mandel Vlog,2012-03-26,Hey I'm Alex and I like to think of myself as a majestic seahorse prancing through the depths of the Pacific. Come prance with me!,Vlog,2,481222,481222,70601783
20,UCsl2vIAHvfb8r7ocg325GfQ,SuperwomanVlogs,2011-12-27,"Spent thousands of dollars on tuition, graduated and got a degree. I make YouTube videos now. I am also a happy unicorn that believes in one love. Join me on ...",Vlog,201,2471564,2471564,337458168
21,UCyjhyJoPHcQRxPLnWPjOecg,J House Vlogs,2014-08-15,"We are loving, learning, serving, and playing together with our 5 little kids: Isaac (9), Elise (7), Caleb (5), Laura (3), and our beautiful little baby girl. We love ...",Vlog,0,1314184,1314184,1003557715
22,UC7FP6UyeIEiqvrvpw8nFRnw,Hodgetwins Vlogs,2012-07-06,Agent: Valentijn Sloot VSloot@gersh.com Management & Business Inquiries: hodgetwins@gmail.com.,Vlog,856,657243,657243,79665011
23,UCBOd5KMWdkVPc70RWw5GmbA,MikeyBustosVLOGS,2015-12-20,"Hi guys, my name is Mikey Bustos, and I'm just a boy living in an epic world with a dream to change it! My bio is pretty random: In short, I am a professional ...",Vlog,0,49999,49999,2220673
24,UCR0VLWitB2xM4q7tjkoJUPw,Vlog Creations,2016-11-29,"My values are unchanging in comedy, courage, and creativity. I'm adding consideration to my list of values. This channel allows me to express myself in ways ...",Vlog,0,221421,221421,18695096
25,UCTya3dclGw5pLOus1C5Gfyg,HoldOver Vlog,2016-03-27,"As my main channel evolved past the airgun community, I started to feel pressure to steer away from hard-core airgun subjects. I also felt that every video had to ...",Vlog,0,13993,13993,333054
26,UC_lWt_nOkuZnLCYc75woj0Q,Marcum's Vlog,2013-06-10,"Vlogger, 16 ani. Cică fac chestii faine. Abonează-te! Fă bani cu ajutorul youtube,apasă aici http://www.air.io/?page_id=1432&aff=702 ...",Vlog,1,30648,30648,1903981
27,UC-SV8-bUJfXjrRMnp7F8Wzw,RomanAtwoodVlogs,2013-08-12,"I'm Roman Atwood, this is my life as a Father to my sons Noah and Kane and daughter Cora, along with my girlfriend Brittney in Ohio. I've made pranks on ...",Vlog,221,14463981,14463981,4633011634
28,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,2007-01-02,Raising nerdy to the power of awesome.,Vlog,5415,3122905,3122905,739884278
29,UCPRlGA2w7C_DVw-1ynolJYw,Shaaanxo Vlogs,2011-07-19,"Its Shannon here, from Shaaanxo! This is my vlog channel :)",Vlog,156,541737,541737,65273719
30,UCJ3xy7rzDKtySZLrUVCQfjQ,Leesha Vlogs,2008-09-28,Hey! This is Leesha (xsparkage for the more known name) This will be my non makeup channel :),Vlog,829,74899,74899,10639557
31,UCJu32YspnuE7bck6Li-vyfQ,UIC Vlogs,2017-04-21,29 Year Old guy from Mumbai known as ' Ur IndianConsumer ' [UIC] shares his life on YouTube.,Vlog,0,142732,142732,14889735
32,UCNRfqSkBqZR8Ge_QnfwqgFQ,Wengie Vlogs,2013-06-25,This channel is my way of showing you another side of me than what you see on my main beauty & lifestyle channel! http://www.youtube.com/wengie Remember ...,Vlog,0,1750413,1750413,41867365
33,UCnM1ay_QoQOpa1N2iejLA7A,Katie Betzing Vlogs,2016-04-18,Hey I'm Katie Betzing and this is a vlog channel of a behind the scenes look into my life.,Vlog,0,61393,61393,896904
