,Channel ID,Channel Name,Created,Description,Genre,Comment Count,Subscriber Count,Video Count,View Count,Upload Frequency
0,UCYL9lSER7W0kMXbGCprMS0A,Vlogs By DK4L,2015-10-14,"Hello it's DK4L De'arra and Ken your favorite couple, We've created this daily vlog channel for all our #DK4L FANS that love to follow us. Well here's a better ...",Vlog,0,1751739,1751739,134527718,3
1,UC_hoQDD6zKcIqpIYLsFbBeA,Mo Vlogs,2013-09-22,Im 21 years old I live in Dubai. On my youtube Channel i am a vlogger. (Dubai youtuber) Business email : movlogsbusiness@gmail.com POSTAL ...,Vlog,0,5330206,5330206,1398078485,1
2,UCmMKeHNK3W2UDGnYckZJ1zQ,The Life Of Us Vlogs,2017-04-05,"Welcome to The Life of Us! Our channel will include Vlogs, Story times, Pranks, Challenges & more! TURN OUR NOTIFICATIONS ON TO STAY UPDATED!",Vlog,0,487317,487317,30070874,2
3,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,2015-08-29,22 year old kid in Hollywood making crazy daily Vlogs! Join the movement and Be A Maverick: https://shoploganpaul.com/,Vlog,0,17264324,17264324,3628828741,1
4,UCLGe0PxyRFWmXVGJKq_gGvw,Fancy Vlogs By Gab,2015-07-20,,Vlog,0,1789166,1789166,158523238,4
5,UCPVc4QnmAK13FdJydoQiljg,The Gabbie Vlogs,2014-01-25,Watch my stories unfold in real time! ▷FOLLOW ME ON INSTAGRAM: @thegabbieshow http://instagram.com/thegabbieshow ▷FOLLOW ME ON TWITTER: ...,Vlog,0,1578318,1578318,164541918,6
6,UCnM1ay_QoQOpa1N2iejLA7A,Katie Betzing Vlogs,2016-04-18,Hey I'm Katie Betzing and this is a vlog channel of a behind the scenes look into my life.,Vlog,0,61417,61417,897958,6
7,UC-SV8-bUJfXjrRMnp7F8Wzw,RomanAtwoodVlogs,2013-08-12,"I'm Roman Atwood, this is my life as a Father to my sons Noah and Kane and daughter Cora, along with my girlfriend Brittney in Ohio. I've made pranks on ...",Vlog,221,14474009,14474009,4636875289,2
8,UCF1Q_zp3Eh3nuEHvMbdKkqg,AlishaMarieVlogs,2012-07-13,Hi I'm Alisha Marie and this vlog channel is a behind the scenes look into my life!!!,Vlog,16,2736167,2736167,401339301,2
9,UC8b8jeJgftvh6eDXxgddA-A,Laura Lee Vlogs,2015-04-01,This is my Second Channel! VLOG CHANNEL! My First Channel is my beauty channel: youtube.com/user/laura88lee Instagram: @larlarlee Tweet Me ...,Vlog,0,392529,392529,8947111,19
