,index,Channel ID,Channel Name,Created,Description,Genre,Comment Count,Subscriber Count,Video Count,View Count,Upload Frequency,Popularity,Label
0,345,UCB0d0JLn1WcGYcwwZ87d2LA,Rclbeauty101,2010-12-14,"I make different types of videos ranging from, DIYs, life hacks, comedy, skits, and anything I enjoy making, I hope you enjoy it too! For all business and branding ...",Beauty,2532,13258952,13258952,2862266820,5,2875528304,Popular
1,373,UCHfdTAyg5t4mb1G-3rJ6QsQ,BibisBeautyPalace,2012-11-28,Kontaktadresse/Business Inquiries : bibisbeautypalace@web.de ______ IMPRESSUM Julian Claßen & Bianca Heinicke GbR c/o TiQuest Management GbR ...,Beauty,83,4932036,4932036,1893793930,3,1898726049,0
2,354,UC0YvTCy1I4_a-3pn47_5DBA,"SaraBeautyCorner - DIY, Comedy, Makeup, Nail Art",2012-10-07,"Subscribe for the Coolest and Funniest Beauty Videos! This channel is all about DIY, comedy, makeup tutorials, nail art and other awesome ideas that pop on ...",Beauty,14,7996813,7996813,1296713430,30,1304710257,Inconsistent
3,437,UCWRV5AVOlKJR1Flvgt310Cw,Zoella,2007-02-02,,Beauty,5384,12099656,12099656,1086364800,10,1098469840,Inconsistent
4,438,UCuYx81nzzz4OFQrhbKDzTng,Michelle Phan,2006-07-18,"Just another old soul dreamer with childlike faith. Teaching and inspiring everyone to become their own best makeup artist :) So sit back, enjoy and let's play with ...",Beauty,156897,8969102,8969102,1018898443,18,1028024442,Inconsistent
5,368,UC4qk9TtGhBKCkoWz5qGJcGg,Tati,2010-11-08,"I'M TOTALLY ADDICTED TO MAKEUP and upload unbiased Product Reviews, Tips, Hauls and Tutorial videos on Drugstore & Luxury Beauty Products five days ...",Beauty,1826,4047124,4047124,828841502,1,832890452,Popular
6,446,UCkvK_5omS-42Ovgah8KRKtg,jeffreestar,2006-02-14,MAKEUP ARTIST/COSMETICS CREATOR. Singer/song writer. Fashion whore. Dog lover. * SHOP MY BRAND: http://www.jeffreestarcosmetics.com + FOLLOW ...,Beauty,7597,6912802,6912802,820432260,5,827352659,0
7,445,UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,2008-06-23,"N I K K I E T U T O R I A L S  NEW video every Wednesday and Sunday 4:00pm EST/01:00pm PST! Hair & Makeup Artist ∙ When life gives you lemons, punch it ...",Beauty,5573,9792409,9792409,803618056,6,813416038,0
8,353,UCGUkuAaBDkYPdUhIetzLQxQ,Clevver Style,2009-07-12,"Beauty and style tips, tricks, and tutorials! New here?? We're the home of… LUNCHY BREAK every Tuesday!! BEAUTY TRIPPIN every Thursday!! WHAT THE ...",Beauty,195,2644578,2644578,685406923,1,688051696,0
9,357,UC21yq4sq8uxTcfgIxxyE9VQ,Carli Bybel,2011-06-27,FOR ALL BUSINESS INQUIRIES PLEASE CONTACT SETH @ CARLIBYBELPR@gmail.com.,Beauty,2234,5978449,5978449,552721114,6,558701797,0
10,439,UCzco9CewPf0F-SP1p6LhWrw,Gigi Gorgeous,2008-07-07,"I'm a YouTuber & TV personality, lover of beauty, fashion and a good party! ✨STAY GORGEOUS✨Remember you are better than anyone who hates on you for ...",Beauty,17629,2788512,2788512,441144779,6,443950920,0
11,443,UCKTgL5yfBJXIgRbhe4Qs1Mg,bubzbeauty,2007-08-06,"Willing to try. Willing to learn. My VLOG channel: http://www.youtube.com/bubzvlogz or all Business & PR opportunities, please email: bubz@gushcloud.com ...",Beauty,97334,2949341,2949341,427820549,19,430867224,Inconsistent
12,440,UC6jgzx2g3nlbaYkd8EMweKA,Jaclyn Hill,2010-09-07,"Hi I'm Jaclyn Hill from JaclynHill1 on YouTube. I am a professional makeup artist. I'm young, ambitious & full of life. I post makeup tutorials and makeup reviews ...",Beauty,975,5075192,5075192,415949211,12,421025378,Inconsistent
13,415,UCBDR4TSiuXpWFNSA4cxPp6g,womenbeauty1,2011-09-30,Hairstyles by Sklemina Tatiana Please visit my new channel for more hairstyles! http://www.youtube.com/womenbeauty1Ru.,Beauty,353,1277107,1277107,378628343,2,379905803,0
14,442,UCz0Qnv6KczUe3NH1wnpmqhA,Nicole Guerriero,2006-11-27,Don't quit your daydream. 143. - Thank YOU for subscribing. B U S I N E S S: For Business and Branding/PR vanessa@jamesgrant.com ...,Beauty,3830,2903803,2903803,319313460,6,322221093,0
15,355,UCucot-Zp428OwkyRm2I7v2Q,James Charles,2015-12-01,"HI SISTERS! I'm James Charles, an 18 year old kid with a few blending brushes. Subscribe to my channel and join the sisterhood for all things makeup, ...",Beauty,0,4459859,4459859,303493634,4,307953493,0
16,444,UCXbQzhqSvgVZTUyi1T4AU3w,Lauren Curtis,2011-08-31,This channel is centred around all things beauty - from makeup and hair tutorials to product reviews and hauls - I've got everything covered! Thanks for stopping ...,Beauty,1744,3630367,3630367,298968383,7,302600494,0
17,441,UC48DOiEvCDu3sThBijwkQ1A,juicystar07,2008-07-08,Welcome to my channel! I'm Blair Fowler and have been uploading beauty and fashion videos since 2008. Show your support by subscribing! Business Inquires ...,Beauty,120583,1771549,1771549,289666199,4,291558331,0
18,390,UCXzaEAP-03qktmjNF2M4qLg,beautygloss,2007-09-05,Hoi en welkom op mijn beauty youtube channel! Ik ben Mascha Feoktistova en maak sinds 2007 video's op dit kanaal over alles wat met beauty te maken heeft.,Beauty,0,622732,622732,273333273,3,273956005,0
19,450,UCDHQbU57NZilrhbuZNbQcRA,PatrickStarrr,2013-02-27,"Hey YouTube! This is my Makeup, Beauty and Lifestyle channel! ""MAKEUP IS A ONE SIZE FITS ALL"". I love makeup, photography and YouTube! I want boys in ...",Beauty,23,3745304,3745304,228634582,8,232379909,Inconsistent
20,449,UC0KiGuCTrehqzSQ7ikjxSQw,Patricia Bright,2009-02-21,"A Female fashion beauty and hair channel with tutorials and videos to help with your beauty and fashion needs. Style advice Im here, random Life advice I'm ...",Beauty,2930,2307516,2307516,196161846,3,198472292,0
21,453,UCXTAdFsBmxNK3_c8MUvSviQ,Christen Dominique,2009-02-03,SNAPCHAT: Christensnaps INSTAGRAM: ChristenDominique TWITTER: Christendtweets FACEBOOK: Christen Dominique New videos every week!,Beauty,2473,3813462,3813462,182278710,5,186094645,0
22,420,UCzJIliq68IHSn-Kwgjeg2AQ,Jackie Aina,2006-03-12,"Changing the standard of beauty, one video at a time :) New videos Tuesdays, Fridays/Saturdays! Business email: jackie@rare.global Philippians 4:13.",Beauty,1018,2329721,2329721,175073403,3,177404142,0
23,385,UCooQN8b9yPeNQgUFa9S5xew,Samantha Maria,2009-07-22,"Hey there! I'm a London based Fashion & Lifestyle blogger & Youtuber with a penchant for Travelling the world, eating and handbag collecting. I love creating ...",Beauty,11597,1840030,1840030,175541904,4,177393531,0
24,346,UC5lRKBgDMpPas8-VP3wsh0A,Kaushal Beauty,2010-07-05,I like to collect fabulous things and I like to wear lipstick. Want to send me a little letter? PO BOX: Kaushal Beauty C/O Red Hare Somerset House Strand London ...,Beauty,10,1970090,1970090,170679734,7,172649834,0
25,434,UC4GtJWgv_PLBiWFihNGbF0g,eleventhgorgeous,2009-01-31,"Hi! We're Tracy and Stefanie! You can find Morning Routines, Lifestyle, Fashion, Beauty, DIY Projects, Get Ready With Me videos, and more! Subscribe today so ...",Beauty,3991,1783016,1783016,170467433,6,172254440,0
26,402,UCtC8m_F7jX2fGOQ3_nomg4g,emilynoel83,2006-11-08,"I'm Emily! Welcome to my channel- Beauty Broadcast. I'm a former news anchor, a wife, and most recently... a momma! My goal with every video is to provide my ...",Beauty,9499,957639,957639,169155971,2,170123109,0
27,448,UCxj0QizmFhx7kVKSArHBCTA,Casey Holmes,2011-03-09,"HI! I'm Casey- Georgia girl- Makeup & Hair obsessed. If you like my videos, please subscribe so you don't miss out on any of them! xoxox Business inquiries can ...",Beauty,710,1640597,1640597,167385014,5,169026321,0
28,347,UClY87IoUANFZtswyC9GeecQ,Beauty recipes,2015-10-20,"Looking for skin, hair, or nail care tips? Find the latest beauty information here. Disclaimer : These contents or videos are only intended for informational purpose ...",Beauty,0,1148709,1148709,167209269,3,168357978,0
29,447,UCsopuR4Uw3TSA1VPY0MyAfQ,Claudia Sulewski,2009-11-02,,Beauty,6468,1912849,1912849,128995676,12,130914993,Inconsistent
30,344,UCRSvEADlY-caz3sfDNwvR1A,Huda Beauty,2007-01-14,"Hey My Loves!! Thanks for visiting :) I'm Huda, the Founder and CEO of Huda Beauty! For me, makeup has always been so much more than a way to look more ...",Beauty,331,2322181,2322181,128501831,15,130824343,Inconsistent
31,454,UCt5MVT7UbWWtcymqRy0RdcA,TheChicNatural,2008-04-09,"I'm just a girl who loves fashion, beauty & fun! My website: TheChicIsNatural.com For Business & PR opportunities please email: ChicNatural@gushcloud.com.",Beauty,349,1543757,1543757,121618495,11,123162601,Popular
32,358,UC7ta1qj7_Aj1SzT8CA0j-pA,BeautybyNena,2011-12-05,"For all PR and business opportunities please email: Nena@gushcloud.com Latina Social Media Influencer and Beauty Vlogger (Chicago, IL)",Beauty,59,1514919,1514919,113023124,6,114538102,0
33,361,UCSPUsC1K3KOoqh3XRKzOwQw,TheDollBeauty,2009-12-10,"Salut ! Je suis Maroua Alias TheDollBeauty :) Si vous êtes ici, c'est que vous voulez passer du BON TEMPS, rigoler ou apprendre des choses (oui ça aussi) !",Beauty,693,1471275,1471275,112201857,10,113673825,Inconsistent
34,394,UCg0BZXZm905Jr8g3S05XPIw,Beauty Pageants,2016-01-21,"Beauty Pageants is your one-stop destination for all that's happening in and around the world of glamour and beauty. Get the latest news, views and interviews ...",Beauty,0,252533,252533,111857413,1,112109946,0
35,399,UCMrwXWpdmMGV5UPUXYzbPzw,Sahana Beauty Corner,2008-05-09,"SAHANA BEAUTY CORNER is all about collection of latest indian jewellery designs and garments like celebrity garments and Jewellery, diamond jewellery, ...",Beauty,0,303983,303983,97124111,1,97428094,0
36,432,UCkYwlqDr8sBNf0zGolOzF6w,Beauty Mantra,2012-03-25,"Beauty Mantra is all about beauty, makeup and fashion for Indian women. For business and media enquiries get in touch with us at contact@beauty-mantra.com ...",Beauty,3,493812,493812,96722549,7,97216364,0
37,375,UCI64jIDZ9WVgNv-CdR_edyw,Agnieszka Grzelak Beauty,2011-11-23,Cześć! Tu Agnieszka Grzelak Witaj na 3-cim największym kanale urodowym w Polsce! Wyróżnia mnie umiejętność śmiania się z samej siebie i dzielenie się ...,Beauty,1,676557,676557,95072045,9,95748603,Inconsistent
38,366,UCPhfriDQV1gXKKDDotuXGzA,Beauty TV,2017-06-21,,Beauty,0,605376,605376,92589451,1,93194827,0
39,435,UCVMHrytkjpCocTVWEqjSoPw,Saba G Health & Beauty Tips,2016-09-04,"Aslam O Alikum Viewers how are you? Hope you all will be fine and Happy, Today Saba Beauty Tips going to introduced you Beauty tips. in this video I will ...",Beauty,0,988177,988177,88833609,1,89821786,0
40,350,UCVKFs0cesQUEGtn8gQmhbHw,VasseurBeauty,2013-09-06,"Hi, I'm Brittany - I make fun lifestyle videos on DIYs, home organization, cleaning, budgeting, healthy living and more! My goal is to inspire and motivate you to ...",Beauty,0,928174,928174,83801363,4,84729537,0
41,380,UC8f2CDyLibpGYSN3O2LfDwg,Beauty Within,2013-04-23,Beauty Within inspires young women to be better versions of themselves through beauty + wellness content that integrates into their daily lives. Stay in touch: ...,Beauty,16,1025654,1025654,77733882,4,78759552,0
