,Channel ID,Channel Name,Created,Description,Genre,Subscriber Count,Subscriber/Video,Video Count,View Count,Views/Subscriber,Views/Video,Comments/Upload,Comments/View,Days/Upload,Dislikes/Upload,Dislikes/View,Growth Rate,Likes/Upload,Likes/View,Views/Upload
0,UC6vz1swW_aCWgzVQOvxV9Fg,Yi Sung Vlog,2018-04-24,,Vlog,2218,369.6666666666667,6,161064,72.61677186654644,26844.0,43.833333333333336,0.3844399267611572,2.1,25.166666666666668,0.07729611022624037,-5.577660405871176,371.6666666666667,2.5372871803387143,26991.666666666668
1,UC_MPbaqvft__Fj8nzqmKyQg,Rowben Plays/vlogs,2018-04-21,Hi everyone I am doing gaming music & Vlog videos My goal of the year is to get 50 sub 600 Views and awesome videos I love making vids Go sub to all my ...,Vlog,27,0.5,54,560,20.74074074074074,10.37037037037037,2.32,,0.3,0.2,,-9.67299196566821,2.54,,10.32
3,UCpd8cB4rAraHUrEPFFoZHMg,Chevelle’s Vlogs,2018-03-29,My name is Chevelle I do Vlogs the name Chevelle is a car name and this channel is gonna be lit because we do lit things every day!,Vlog,9,4.5,2,97,10.777777777777779,48.5,3.3333333333333335,7.384772090654444,13.1,0.6666666666666666,0.8658008658008658,-2.4761676246713225,4.0,9.778456837280368,32.666666666666664
4,UCuWJT-TElvNsFFN86_GcRlw,Jake o connor vlogs,2018-03-04,Sub to this channel and my first channel.,Vlog,12,0.5217391304347826,23,160,13.333333333333334,6.956521739130435,0.43478260869565216,4.442079659470964,2.8,0.13043478260869565,1.3216011042097997,-0.6605941037334742,0.2608695652173913,2.983091787439613,7.043478260869565
5,UCTh5lAHYjMj0lGNVVneXdNA,Chang Vlogs,2018-03-03,Plz like share comment and subcribe.,Vlog,31,1.7222222222222223,18,576,18.580645161290324,32.0,7.571428571428571,10.56966456199516,8.9,1.7142857142857142,2.1688593253434276,-0.922473879509934,11.428571428571429,18.73652483267525,80.85714285714286
6,UCLdQf7H9_ookTVZc4sRNeMQ,TehGolden Vlog,2018-03-02,Sub and leave a like and turn on notifications for more content :^),Vlog,17,1.0625,16,277,16.294117647058822,17.3125,0.6875,4.303832038207038,3.4,0.4375,2.4295828983328986,-1.576547843244347,1.375,9.856553055082466,17.3125
7,UCrBvemt86I3gVDp4mDwcRpQ,The Murisan's Family Vlogs,2018-02-27,Welcome to the Murisan Family Vlogs #MurisanGang (friendliest gang on the East Coast). We are an outgoing family from New Jersey that loves to find new ...,Vlog,1315,16.858974358974358,78,9676,7.358174904942966,124.05128205128206,55.32,41.7946291816025,0.8,0.56,0.3359410356446975,2.2107743163639233,30.38,23.50002444555811,141.98
8,UCiFYENs80TlfplExr-LN3Mg,Dũ sàm vlogs,2018-02-24,"Mình là Lê Hoàng Dũ, sn 2002 Mình là thành viên của Con Nit channel Nếu các bạn yêu mến mình và team hãy đăng ký để xem các video mới nhất nha!",Vlog,3911,260.73333333333335,15,296715,75.8667859882383,19781.0,64.33333333333333,1.1188885425598356,1.6,87.66666666666667,0.4914099494873734,-89.78197988479575,275.8,2.877770039310485,19790.466666666667
9,UCIAz4upJFkwpaLGiEf3Z_7Q,duy vlog,2018-02-14,Ae nho đang ki kenh minh nha.,Vlog,828,34.5,24,783,0.9456521739130435,32.625,3.75,12.766168794199428,0.8,0.25,0.6654600958805764,3.688890051337547,2.8333333333333335,8.86017978125695,29.541666666666668
11,UCmkF_7IputMOlkcinNqN2Tw,Alexey and Alina VLOG,2018-01-24,Всем привет! Добро пожаловать на наш канал Alexey and Alina VLOG! Мы снимаем интересные видео о нашей совместной жизн...,Vlog,529,3.7785714285714285,140,14393,27.207939508506616,102.80714285714286,17.0,18.10320575573503,0.8,2.46,1.9866746701223057,0.777034458038723,18.38,16.618818911082915,122.42
